epoch,train_loss,val_loss
1,0.08022987451404333,0.05514159934087233
2,0.05747786993160844,0.04661383412101052
3,0.0471363415941596,0.036011689427224075
4,0.040314330253750086,0.029845536771145733
5,0.035483826091513036,0.026795899495482445
6,0.03195189861580729,0.020528071644631298
7,0.02989100804552436,0.01811884572221474
8,0.02771576726809144,0.019057875499129295
9,0.026364712603390218,0.017186433584852653
10,0.02549231592565775,0.016454547728327187
11,0.02473096619360149,0.01596797410060059
12,0.023904849542304873,0.014603797177022154
13,0.023169814422726632,0.011563204398209398
14,0.022228728933259844,0.013597471978176724
15,0.02125102523714304,0.01129855224016038
16,0.021369621623307467,0.013270309364253824
17,0.020820091757923365,0.01124099481173537
18,0.020425836183130743,0.00975051573054357
19,0.01986903315410018,0.012009636244990608
20,0.01941248690709472,0.00950121075253595
21,0.01947623435407877,0.01054196178235791
22,0.01901727318763733,0.008788909170437943
23,0.01873854990117252,0.0076767856001176615
24,0.018585257162339986,0.011159206317229704
25,0.018005891260690986,0.01074697161940011
26,0.01833227926399559,0.012074245309287851
27,0.017860141349956393,0.009021978275003758
28,0.01792998283635825,0.008445333858782595
29,0.017192810610868036,0.0077032660642130804
30,0.01741345403715968,0.012692430310628632
31,0.01738566334825009,0.009295600339431654
32,0.01689954639878124,0.007994908204471523
33,0.01691306373104453,0.006759846837005832
34,0.01648718356154859,0.007648316042667086
35,0.01647241096943617,0.010302995839579538
36,0.01625773075502366,0.00672237282957543
37,0.016366460942663252,0.006589547053656795
38,0.016000099456869067,0.00673530310053717
39,0.01590072640683502,0.009554019663482904
40,0.015970920538529755,0.0075696355832571335
41,0.015856033796444534,0.0060517923398451376
42,0.015743697760626674,0.006288983012464913
43,0.015253582503646612,0.0074029807848009195
44,0.015558066614903509,0.00806387107480656
45,0.01537506291642785,0.006666917438534173
46,0.015038692089729012,0.005990497090599753
47,0.014575042901560665,0.005542897322977131
48,0.014874085411429405,0.008608519946309652
49,0.014604614651761948,0.012894924222068354
50,0.014787983312271536,0.00681930843910033
51,0.014414739795029163,0.007311515721746467
52,0.014277538005262613,0.00850200339813124
53,0.014283080003224313,0.0054109088695523415
54,0.014072720822878183,0.006003110076893459
55,0.014296689117327333,0.005054663655094125
56,0.0139685194240883,0.005115549630400809
57,0.013865602551959455,0.011974797668782148
58,0.013909941958263516,0.004866444145921956
59,0.014053862961009144,0.00910412266173146
60,0.013660129415802658,0.005474005444821986
61,0.013899242179468274,0.0058188908733427525
62,0.013820555666461587,0.00755109836940061
63,0.013571373280137777,0.0058522697495804596
64,0.01313671909738332,0.005868812684308399
65,0.013476880895905197,0.00777864940887825
66,0.013230733457021415,0.006256303114985878
67,0.013101752824150025,0.007028252521360462
68,0.013343128189444543,0.006693858907304027
69,0.01308973515406251,0.015537495640191164
70,0.013065875787287951,0.004365718881176276
71,0.012962101004086434,0.005958521865646948
72,0.012954453215934336,0.004782781004905701
73,0.012709365016780794,0.005197783741592007
74,0.012915225024335087,0.006133180704306473
75,0.013072924036532641,0.005000778611495413
76,0.012730858498252928,0.008750364142046734
77,0.012438256409950554,0.004518614108250899
78,0.012977963103912771,0.009300835938616232
79,0.01296687158755958,0.005180339328944683
80,0.01243329925928265,0.022048384289849888
81,0.012877845205366611,0.005964442833580754
82,0.012538857827894389,0.0059893894093957815
83,0.01278922043275088,0.003995782124217261
84,0.012344945571385324,0.00459217330948873
85,0.011979742790572345,0.004168445667759938
86,0.01216909063514322,0.00386771726930006
87,0.01204972097184509,0.005740273447537964
88,0.012113261781632901,0.005122992718084292
89,0.012037824117578566,0.004517496097832918
90,0.011838927771896124,0.006570104255594991
91,0.011972688394598663,0.0062364989637651224
92,0.012138541671447456,0.0058401156724853945
93,0.011613929830491542,0.005084349646825682
94,0.011817807098850608,0.0036681281953034077
95,0.011976111074909567,0.005729906726628542
96,0.01150654125958681,0.00446616117419167
97,0.011591297527775168,0.003850801678543741
98,0.011650853813625872,0.004236191638152708
99,0.011187868122942746,0.003444384540092539
100,0.011156968353316189,0.004354623527350751
101,0.011618824349716306,0.004902210298248313
102,0.011393282213248312,0.0037824386328628116
103,0.011279090563766659,0.006081358190964569
104,0.0114806086756289,0.004411843224343928
105,0.011037282017059624,0.004117343405430967
106,0.011099237576127052,0.004822234326804226
107,0.01107310988008976,0.003494315336204388
108,0.01092371023260057,0.004591051446781917
109,0.010911341360770165,0.004586673913184892
110,0.010740260104648769,0.004115919921208511
111,0.01089296112768352,0.004665273199365897
112,0.010510830814018846,0.0036461953581734137
113,0.010589139978401363,0.005622678203508258
114,0.010726119624450803,0.004330653252757408
115,0.010787878395058214,0.004124071004546501
116,0.010501553514041006,0.003947075519880111
117,0.010792503086850046,0.00364013680849563
118,0.010618024389259517,0.004262831993401051
119,0.010526837641373276,0.004105420381000096
120,0.010391409555450083,0.003734822893007235
121,0.010566015262156725,0.0037478668276559224
122,0.01075430924538523,0.0035296689126301894
123,0.01067813318222761,0.004216176500035958
124,0.010330414678901435,0.0030639207054098897
125,0.01025704937055707,0.004250964382663369
126,0.01019403210375458,0.003653921208090403
127,0.010346283251419664,0.00355634920891713
128,0.010258139204233884,0.00584378597241911
129,0.010195246199145913,0.0037020276173610578
130,0.010048003972042353,0.0036747729490426454
131,0.010063071339391171,0.004069552481682463
132,0.010159271000884474,0.0040665967178277
133,0.010165481409057976,0.003975830009122464
134,0.009986139088869094,0.0031884202246808195
135,0.010054061119444669,0.0040975219824097376
136,0.009926942898891867,0.003527328520166603
