weather,occupancy_count,layout_index,seat_list,active_zones,baseline,baseline_power_W,optimized_power_W,absolute_saving_W,outcome
Clear,11,1,0;1;4;5;6;12;13;15;19;20;22,3,Zonal PIR ceiling-only,79.19999999999999,19.5,59.69999999999999,GA lower
Clear,11,2,0;1;5;8;10;15;16;17;19;21;23,3,Zonal PIR ceiling-only,92.4,25.5,66.9,GA lower
Clear,11,3,0;4;6;9;13;14;15;16;17;20;22,3,Zonal PIR ceiling-only,92.4,18.0,74.4,GA lower
Clear,11,4,1;2;3;8;10;13;16;17;18;19;22,3,Zonal PIR ceiling-only,92.4,31.5,60.900000000000006,GA lower
Clear,11,5,2;3;5;7;9;12;14;18;19;21;23,3,Zonal PIR ceiling-only,92.4,22.5,69.9,GA lower
Clear,12,1,0;1;2;3;5;6;8;14;17;18;19;20,3,Zonal PIR ceiling-only,92.4,39.0,53.400000000000006,GA lower
Clear,12,2,0;5;7;8;9;10;11;13;14;16;17;21,3,Zonal PIR ceiling-only,105.6,21.0,84.6,GA lower
Clear,12,3,1;4;7;8;9;10;12;14;16;19;22;23,3,Zonal PIR ceiling-only,92.4,19.5,72.9,GA lower
Clear,12,4,1;6;8;10;15;16;17;19;20;21;22;23,3,Zonal PIR ceiling-only,92.4,18.0,74.4,GA lower
Clear,12,5,3;4;8;9;16;17;18;19;20;21;22;23,3,Zonal PIR ceiling-only,92.4,22.5,69.9,GA lower
Clear,13,1,0;1;2;4;5;11;13;16;17;18;21;22;23,3,Zonal PIR ceiling-only,105.6,30.0,75.6,GA lower
Clear,13,2,0;1;4;5;6;7;9;11;14;15;18;22;23,3,Zonal PIR ceiling-only,105.6,25.5,80.1,GA lower
Clear,13,3,0;1;4;5;8;10;12;13;14;18;21;22;23,3,Zonal PIR ceiling-only,92.4,21.0,71.4,GA lower
Clear,13,4,0;3;5;6;7;8;10;13;18;19;21;22;23,3,Zonal PIR ceiling-only,92.4,28.5,63.900000000000006,GA lower
Clear,13,5,1;2;3;4;6;7;11;12;13;14;17;19;22,3,Zonal PIR ceiling-only,105.6,33.0,72.6,GA lower
