weather,strategy,mean_within_density_range_W,max_within_density_range_W,occupancy_at_max_range,within_density_variance_share_pct
Clear,Optimized hybrid,14.6,21.0,10,29.80042641995585
Clear,Rule-based hybrid,12.5,19.5,10,26.046186379988708
Clear,Zonal PIR ceiling-only,44.879999999999995,79.19999999999999,1,48.83081155433286
Night,Optimized hybrid,31.419999999999998,85.20000000000002,3,8.50958110074624
Night,Rule-based hybrid,35.199999999999996,105.6,2,9.789421771719102
Night,Zonal PIR ceiling-only,60.71999999999999,171.6,2,10.929899856938485
Overcast,Optimized hybrid,24.8,76.5,2,23.799819378626054
Overcast,Rule-based hybrid,38.9,76.5,2,15.928689801182399
Overcast,Zonal PIR ceiling-only,59.84000000000001,171.6,2,14.37003615686517
