epoch,train_loss,val_loss
1,0.08867407202720642,0.07132014100040708
2,0.06556376755237579,0.05407671630382538
3,0.05646804079413414,0.045368018959249766
4,0.04739744335412979,0.0404940274144922
5,0.04379910558462143,0.037407178963933675
6,0.039590303748846055,0.03197078087500164
7,0.0369665290415287,0.028575423040560315
8,0.03479586385190487,0.027154837868043354
9,0.03308926112949848,0.023524153445448195
10,0.030968781411647796,0.021320700911538943
11,0.029342279508709906,0.025193733828408376
12,0.027640623822808266,0.017505906522274017
13,0.026718930304050446,0.016593870174671923
14,0.025436356142163278,0.014554723698113645
15,0.025134127587080002,0.014834408781358175
16,0.023908305764198303,0.01575876067259482
17,0.022595925852656365,0.015575493818947248
18,0.022044790908694267,0.013056913523801736
19,0.022259434163570405,0.011314892476158482
20,0.021514389365911483,0.01835236166204725
21,0.020692948997020722,0.010786330194345542
22,0.01982102945446968,0.011321083110358034
23,0.01925068624317646,0.00984597924564566
24,0.019229311645030975,0.009186685351388795
25,0.01945978358387947,0.011867766534643514
26,0.018493727445602418,0.011264910123177938
27,0.019256988428533076,0.012003552434699876
28,0.0182133549451828,0.010562846570142679
29,0.018244412764906882,0.012994751334190369
30,0.017751068510115146,0.008684372728956597
31,0.01716883759945631,0.008158078417181969
32,0.017493126578629017,0.008903819402413709
33,0.01727772008627653,0.011890859742249762
34,0.017231236211955547,0.01195544736193759
35,0.01669021036475897,0.009405572499547685
36,0.017235755547881128,0.011026863673967975
37,0.01661168970167637,0.007783157218779836
38,0.0164493440836668,0.006496983181153025
39,0.016585780791938304,0.010930285922118596
40,0.016059264801442624,0.006735675236476319
41,0.016174240559339522,0.012761753983795643
42,0.01568171814084053,0.006923417361187083
43,0.015405723862349986,0.00818382077185171
44,0.01556620817631483,0.005821613661412682
45,0.015451493412256241,0.006623965821095875
46,0.015357549786567688,0.008337655370788915
47,0.01485886499285698,0.00915950589946338
48,0.015156756602227688,0.007579364813864231
49,0.015285027138888836,0.007531476340123585
50,0.01458316296339035,0.00644147050167833
51,0.01464138925075531,0.009569782497627395
52,0.01447051927447319,0.0074177948491913935
53,0.01400871030986309,0.006619755245212998
54,0.014111364148557187,0.007137044998151916
55,0.014033249579370022,0.0072993152508778235
56,0.014009048230946064,0.005559013823845557
57,0.013930963203310966,0.005149688505168472
58,0.013878033235669137,0.008749094126479966
59,0.013723030611872673,0.005974013957061938
60,0.013711532354354858,0.00768689059519342
61,0.013536187596619129,0.007854854821094446
62,0.013276406452059747,0.005212628748267889
63,0.014334457330405712,0.005313646181353501
64,0.013188738077878952,0.0063928971732301375
65,0.013625413104891777,0.00479935688365783
66,0.013075585104525089,0.007571748923510313
67,0.013402862064540387,0.0064405762989606175
68,0.013167570903897285,0.006095931266567537
69,0.012882549539208412,0.005680306282426629
70,0.013196958787739277,0.007605671550014189
71,0.013097023516893387,0.007146709399031741
72,0.013040575161576272,0.004735841814960752
73,0.012592463418841363,0.004738753295636603
74,0.012887366451323032,0.00710430508479476
75,0.012914824038743973,0.007031663187912532
76,0.012918588183820247,0.004701684827783278
77,0.012473769374191762,0.004182188073173165
78,0.012445488385856152,0.005734672437288931
79,0.012838503047823906,0.0054196997079998255
80,0.012301577851176262,0.007896610469158207
81,0.012472944557666779,0.004873952961393765
82,0.012665374949574471,0.005260696701173272
83,0.012636215761303901,0.005380906364215272
84,0.012195062674582004,0.004238539042749575
85,0.011882656775414944,0.006857970197285924
86,0.011673053987324237,0.0044524721535188815
87,0.012005652077496052,0.005088284944317171
88,0.011911405585706233,0.003786745381408504
89,0.012035122476518154,0.006923303939402103
90,0.011809439547359944,0.004217792368893113
91,0.011644737757742406,0.005047590804419347
92,0.011978727206587792,0.00405579200014472
93,0.0114243196323514,0.0038792006338813473
94,0.011461447216570378,0.006664747837930918
95,0.011601065397262572,0.00526181495349322
96,0.011522711962461471,0.005269458251340049
97,0.011225687898695469,0.006249369787318366
98,0.011747417449951171,0.004374612056251083
99,0.011643799431622028,0.0036727776085691793
100,0.011039859130978585,0.004459320833640439
101,0.011317620053887367,0.004380142582314355
102,0.011465624421834946,0.003816508688032627
